Date,Hour,load,T
01/01/2011,1,2667,34
01/01/2011,2,2525,32.666666667
01/01/2011,3,2417,34
01/01/2011,4,2373,36
01/01/2011,5,2374,36
01/01/2011,6,2432,34
01/01/2011,7,2546,34.333333333
01/01/2011,8,2685,33.666666667
01/01/2011,9,2886,33
01/01/2011,10,3082,36.333333333
01/01/2011,11,3200,38.666666667
01/01/2011,12,3231,44.333333333
01/01/2011,13,3201,46
01/01/2011,14,3150,48
01/01/2011,15,3105,50.333333333
01/01/2011,16,3148,49.666666667
01/01/2011,17,3468,46
01/01/2011,18,3682,42.333333333
01/01/2011,19,3620,42.333333333
01/01/2011,20,3490,42
01/01/2011,21,3331,42.333333333
01/01/2011,22,3145,42.333333333
01/01/2011,23,2917,42.666666667
01/01/2011,24,2667,42.666666667
01/02/2011,1,2479,42.333333333
01/02/2011,2,2350,41
01/02/2011,3,2288,40.333333333
01/02/2011,4,2278,40.333333333
01/02/2011,5,2310,41
01/02/2011,6,2397,39.666666667
01/02/2011,7,2552,39.333333333
01/02/2011,8,2762,38.333333333
01/02/2011,9,3018,38
01/02/2011,10,3243,38.666666667
01/02/2011,11,3352,39.666666667
01/02/2011,12,3374,41
01/02/2011,13,3376,41.333333333
01/02/2011,14,3329,41.666666667
01/02/2011,15,3288,41.666666667
01/02/2011,16,3292,41
01/02/2011,17,3612,40.666666667
01/02/2011,18,3880,37.666666667
01/02/2011,19,3815,36.666666667
01/02/2011,20,3669,35
01/02/2011,21,3492,35.666666667
01/02/2011,22,3216,36
01/02/2011,23,2939,35.333333333
01/02/2011,24,2720,35
01/03/2011,1,2582,34.666666667
01/03/2011,2,2513,32
01/03/2011,3,2500,31
01/03/2011,4,2542,30.666666667
01/03/2011,5,2652,29.333333333
01/03/2011,6,2939,27.666666667
01/03/2011,7,3441,26.666666667
01/03/2011,8,3670,26.333333333
01/03/2011,9,3706,26.333333333
01/03/2011,10,3759,27.666666667
01/03/2011,11,3795,28.666666667
01/03/2011,12,3796,29.333333333
01/03/2011,13,3747,30.333333333
01/03/2011,14,3728,31.333333333
