Date,Hour,load,T
01/01/2012,1,2698,32
01/01/2012,2,2558,32.666666667
01/01/2012,3,2444,30
01/01/2012,4,2402,31
01/01/2012,5,2403,32
01/01/2012,6,2453,31.333333333
01/01/2012,7,2560,30
01/01/2012,8,2719,29
01/01/2012,9,2916,29
01/01/2012,10,3105,33.333333333
01/01/2012,11,3174,36.666666667
01/01/2012,12,3180,40.333333333
01/01/2012,13,3184,43.666666667
01/01/2012,14,3147,43.333333333
01/01/2012,15,3122,45
01/01/2012,16,3137,44.666666667
01/01/2012,17,3486,43.333333333
01/01/2012,18,3717,41.666666667
01/01/2012,19,3659,41.333333333
01/01/2012,20,3513,41.666666667
01/01/2012,21,3344,42.666666667
01/01/2012,22,3129,43.333333333
01/01/2012,23,2873,44.333333333
01/01/2012,24,2639,44
01/02/2012,1,2458,43.666666667
01/02/2012,2,2354,43
01/02/2012,3,2294,42.666666667
01/02/2012,4,2288,43.666666667
01/02/2012,5,2353,43
01/02/2012,6,2503,41
01/02/2012,7,2737,40
01/02/2012,8,2960,37.333333333
01/02/2012,9,3185,37
01/02/2012,10,3390,37.333333333
01/02/2012,11,3510,38.666666667
01/02/2012,12,3549,40
01/02/2012,13,3517,38
01/02/2012,14,3469,39.333333333
01/02/2012,15,3449,38.333333333
01/02/2012,16,3504,38
01/02/2012,17,3843,37.333333333
01/02/2012,18,4125,36
01/02/2012,19,4064,34.333333333
01/02/2012,20,3919,31.333333333
01/02/2012,21,3747,31
01/02/2012,22,3484,30.333333333
01/02/2012,23,3190,28.666666667
01/02/2012,24,2949,27.666666667
01/03/2012,1,2780,26.333333333
01/03/2012,2,2699,26
01/03/2012,3,2663,25.666666667
01/03/2012,4,2683,24.666666667
01/03/2012,5,2799,22.666666667
01/03/2012,6,3083,21.666666667
01/03/2012,7,3593,20.333333333
01/03/2012,8,3845,19
01/03/2012,9,3865,18.333333333
01/03/2012,10,3906,18.666666667
01/03/2012,11,3935,18.333333333
01/03/2012,12,3924,18.666666667
01/03/2012,13,3897,18.666666667
01/03/2012,14,3877,18.666666667
01/03/2012,15,3854,18.666666667
01/03/2012,16,3904,17.666666667
01/03/2012,17,4200,15.666666667
01/03/2012,18,4482,13.333333333
01/03/2012,19,4460,11.666666667
01/03/2012,20,4353,10.666666667
01/03/2012,21,4198,9.6666666667
01/03/2012,22,3935,8.6666666667
01/03/2012,23,3605,7.6666666667
01/03/2012,24,3347,7
01/04/2012,1,3184,6
01/04/2012,2,3104,5.6666666667
01/04/2012,3,3065,5.3333333333
01/04/2012,4,3077,5
01/04/2012,5,3162,4.6666666667
01/04/2012,6,3444,4
01/04/2012,7,3943,4.6666666667
01/04/2012,8,4152,4.6666666667
01/04/2012,9,4134,5
01/04/2012,10,4124,8
01/04/2012,11,4123,10.666666667
01/04/2012,12,4113,13.666666667
01/04/2012,13,4071,15.666666667
01/04/2012,14,4050,17.666666667
01/04/2012,15,4032,19.333333333
01/04/2012,16,4048,20
01/04/2012,17,4312,20
01/04/2012,18,4507,20
01/04/2012,19,4460,20
01/04/2012,20,4331,20.333333333
01/04/2012,21,4147,20.333333333
01/04/2012,22,3860,20.666666667
01/04/2012,23,3515,21.333333333
01/04/2012,24,3210,22
01/05/2012,1,3014,22.333333333
01/05/2012,2,2921,22.333333333
01/05/2012,3,2874,22
01/05/2012,4,2876,21.666666667
01/05/2012,5,2962,21.333333333
01/05/2012,6,3239,21.333333333
01/05/2012,7,3719,21.666666667
01/05/2012,8,3940,22.666666667
01/05/2012,9,3933,23
01/05/2012,10,3948,24
01/05/2012,11,3945,25.666666667
01/05/2012,12,3933,28
01/05/2012,13,3894,29.333333333
01/05/2012,14,3873,30.666666667
01/05/2012,15,3838,32
01/05/2012,16,3855,32
01/05/2012,17,4112,30.666666667
01/05/2012,18,4326,29
01/05/2012,19,4317,27
01/05/2012,20,4213,25
01/05/2012,21,4031,24
01/05/2012,22,3749,22.333333333
01/05/2012,23,3417,20
01/05/2012,24,3167,19
01/06/2012,1,2992,17
01/06/2012,2,2916,17
01/06/2012,3,2873,17.666666667
01/06/2012,4,2861,20
