"spFcst","lmFcst","meanFcst","tindx","dindx","mindx","hindx","year","dow","fcst_load","holiday","fcst_temp","temp2","temp3","lag24","lag48","lag72","lag96","lag120","lag144","lag168","forecast","act_load","act_temp"
"1",3008.16244732996,3617.36302809156,2983.13333333333,2010-01-01 00:00:00,"1/1/2010",1,1,2010,"Friday",2924.41706599059,0,16.7435897437577,280.347797507268,4694.02850702775,3055,3238,2839,2621,2636,2584,2724,0,2928,24.333333333
"2",2891.11381027008,3596.54219390787,2895.73333333333,2010-01-01 01:00:00,"1/1/2010",1,2,2010,"Friday",2835.87351125468,0,16.4871794873231,271.827087447207,4481.66198025836,2921,3129,2719,2535,2511,2475,2591,0,2774,25
"3",2835.01112236989,3226.08146904993,2852.2,2010-01-01 02:00:00,"1/1/2010",1,3,2010,"Friday",2792.95445396777,0,16.3076923075,265.940828396095,4336.88120148517,2864,3055,2665,2503,2451,2430,2520,0,2671,25
"4",2825.21503364247,3374.27875693158,2860.53333333333,2010-01-01 03:00:00,"1/1/2010",1,4,2010,"Friday",2789.86079634839,0,16.2051282051269,262.6061801446,4255.5668167019,2853,3068,2659,2520,2422,2429,2503,0,2610,25.666666667
"5",2906.47550915178,3722.57227925239,2950.26666666667,2010-01-01 04:00:00,"1/1/2010",1,5,2010,"Friday",2868.2976875632,0,15.7564102564115,248.264464168351,3911.75674952472,2921,3172,2762,2607,2435,2458,2533,0,2618,26
"6",3136.87145135325,3783.37552853534,3227.4,2010-01-01 05:00:00,"1/1/2010",1,6,2010,"Friday",3113.86163958455,0,15.1923076921462,230.806213012843,3506.47900535014,3111,3371,2994,2827,2497,2555,2630,0,2706,26
"7",3535.33609701354,3599.11573200652,3726.6,2010-01-01 06:00:00,"1/1/2010",1,7,2010,"Friday",3516.0200852785,0,15.2435897436308,232.367028272125,3542.10764892693,3446,3734,3348,3184,2627,2744,2824,0,2829,26.333333333
"8",3781.78803564355,3936.22815136638,3968.73333333333,2010-01-01 07:00:00,"1/1/2010",1,8,2010,"Friday",3743.85418961398,0,15.1410256408346,229.250657456411,3471.09008272572,3672,3967,3621,3477,2858,2984,3081,0,2967,26.333333333
"9",3885.45734676395,3376.24850683339,3991.2,2010-01-01 08:00:00,"1/1/2010",1,9,2010,"Friday",3851.15848164389,0,15.4230769230615,237.871301774673,3668.70738505957,3844,4121,3811,3640,3142,3248,3299,0,3148,26.333333333
"10",3945.33631543183,4287.41602317917,4009.8,2010-01-01 09:00:00,"1/1/2010",1,10,2010,"Friday",3907.15510915235,0,17.6153846152846,310.301775144406,5466.08511597427,3963,4177,3964,3766,3369,3459,3393,0,3348,27
"11",3966.12379404295,3508.78032473326,4012.06666666667,2010-01-01 10:00:00,"1/1/2010",1,11,2010,"Friday",3927.25568918035,0,20.1025641024577,404.113083493421,8123.70916556833,4005,4181,4052,3828,3497,3571,3422,0,3501,28.333333333
"12",3949.58566986938,3754.53229395639,3976.33333333333,2010-01-01 11:00:00,"1/1/2010",1,12,2010,"Friday",3918.13967017107,0,22.1282051282154,489.657462196378,10835.2407660428,3993,4139,4084,3826,3559,3609,3427,0,3555,29.666666667
"13",3897.21005193544,3048.64551198522,3904.6,2010-01-01 12:00:00,"1/1/2010",1,13,2010,"Friday",3869.63127388341,0,23.8333333334,568.027777780955,13537.995370484,3959,4089,4078,3815,3562,3576,3378,0,3538,30.333333333
